epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0634,0.7516,3.44724,1.10546,0.00398,1,0.06464,0.05822,0.50107,3.89829,0.94196,0.000476286,0.000476286,0.000476286
2,27.1247,0.79667,3.49945,1.10141,0.00397,1,0.12134,0.11395,0.50726,3.86193,0.94134,0.00101152,0.00101152,0.00101152
3,31.3773,1.35739,3.43912,1.46909,0.0037,0.9,0.10353,0.03676,1.66444,4.241,1.55324,0.00152475,0.00152475,0.00152475
4,36.0278,1.86305,3.39921,1.71985,0.00382,0.97059,0.14124,0.04398,1.71666,4.3157,1.53856,0.00156798,0.00156798,0.00156798
5,40.6889,2.02771,3.77455,1.82338,0.00386,0.97059,0.1463,0.04979,1.72093,4.47977,1.58979,0.00153497,0.00153497,0.00153497
6,45.6404,2.03679,3.58119,1.89693,0.00188,0.50588,0.03424,0.00695,2.51792,5.54085,2.80552,0.00150197,0.00150197,0.00150197
7,50.2072,1.87259,3.82294,1.8369,0.00218,0.60588,0.07456,0.02564,2.53738,5.57913,3.19437,0.00146896,0.00146896,0.00146896
8,55.0807,1.43173,3.38482,1.52701,0.00218,0.60588,0.07456,0.02564,2.53738,5.57913,3.19437,0.00143595,0.00143595,0.00143595
9,60.1225,1.40651,3.16845,1.45243,0.00275,0.69412,0.03628,0.00799,2.50178,5.16685,2.61737,0.00140295,0.00140295,0.00140295
10,64.9156,1.27701,2.69534,1.31647,0.00318,0.74118,0.09219,0.02791,1.86245,4.49919,2.12914,0.00136994,0.00136994,0.00136994
11,69.5115,1.25169,2.597,1.3488,0.71684,0.08824,0.12937,0.08285,1.39192,3.97844,1.5927,0.00133693,0.00133693,0.00133693
12,73.9797,1.23244,2.37651,1.3397,0.62734,0.17647,0.16081,0.0822,1.45844,4.20765,1.63231,0.00130393,0.00130393,0.00130393
13,78.8642,1.19441,2.54672,1.34046,0.69614,0.14706,0.17053,0.08579,1.59767,4.45035,1.52684,0.00127092,0.00127092,0.00127092
14,83.5954,1.10526,2.43484,1.23478,0.09704,0.65294,0.16151,0.08448,1.35177,5.11494,1.3042,0.00123791,0.00123791,0.00123791
15,88.2263,1.04023,2.42097,1.18188,0.28074,0.36392,0.24882,0.15159,1.41771,3.77934,1.33916,0.00120491,0.00120491,0.00120491
16,93.0783,0.94082,2.40877,1.14436,0.28074,0.36392,0.24882,0.15159,1.41771,3.77934,1.33916,0.0011719,0.0011719,0.0011719
17,97.8761,0.95068,2.0902,1.10215,0.24413,0.64652,0.30628,0.19571,1.52909,3.87435,1.37613,0.00113889,0.00113889,0.00113889
18,103.118,0.91617,2.0975,1.13685,0.31168,0.49412,0.35802,0.23106,1.33596,3.37627,1.31242,0.00110589,0.00110589,0.00110589
19,107.87,0.9324,1.95335,1.11198,0.28365,0.52353,0.42395,0.26478,1.33357,3.24178,1.37137,0.00107288,0.00107288,0.00107288
20,112.806,0.96444,2.15438,1.18086,0.34569,0.61176,0.48153,0.31552,1.17737,3.24236,1.36329,0.00103987,0.00103987,0.00103987
21,117.682,0.87378,1.83725,1.08303,0.39753,0.55294,0.41487,0.29895,1.07025,3.46719,1.28367,0.00100687,0.00100687,0.00100687
22,120.771,0.81557,1.98312,1.04483,0.46171,0.56797,0.46208,0.32048,0.86713,3.01751,1.08744,0.000973861,0.000973861,0.000973861
23,125.3,0.93038,1.91209,1.15729,0.43599,0.57744,0.4796,0.35505,0.80455,2.80013,1.01587,0.000940855,0.000940855,0.000940855
24,130.202,0.85786,1.91995,1.07597,0.43599,0.57744,0.4796,0.35505,0.80455,2.80013,1.01587,0.000907848,0.000907848,0.000907848
25,135.102,0.82124,1.7078,1.04838,0.42431,0.74118,0.55369,0.43009,0.90094,2.51803,1.01325,0.000874842,0.000874842,0.000874842
26,139.524,0.75047,1.72226,0.99968,0.52395,0.58235,0.55054,0.44131,0.87343,2.36546,0.98035,0.000841835,0.000841835,0.000841835
27,142.643,0.84323,1.73713,1.04566,0.40871,0.74118,0.56211,0.42704,0.88557,2.47922,0.97633,0.000808828,0.000808828,0.000808828
28,144.636,0.80779,1.79966,1.05286,0.31431,0.70322,0.51702,0.40841,0.82871,2.42952,0.97768,0.000775822,0.000775822,0.000775822
29,146.424,0.72058,1.58384,0.99002,0.34875,0.51176,0.52361,0.42104,0.70277,2.17023,0.91828,0.000742815,0.000742815,0.000742815
30,148.194,0.72016,1.52363,0.9917,0.34709,0.64118,0.52486,0.4353,0.67851,2.10068,0.8714,0.000709809,0.000709809,0.000709809
31,150.899,0.72943,1.70826,1.0655,0.36696,0.7,0.53078,0.43259,0.65091,2.02801,0.85127,0.000676802,0.000676802,0.000676802
32,152.635,0.66525,1.41367,0.9887,0.36696,0.7,0.53078,0.43259,0.65091,2.02801,0.85127,0.000643795,0.000643795,0.000643795
33,154.613,0.75167,1.53766,1.01002,0.48983,0.56505,0.52931,0.43586,0.60164,1.94871,0.83714,0.000610789,0.000610789,0.000610789
34,156.477,0.68352,1.43078,1.00469,0.52809,0.67059,0.56039,0.45693,0.55203,2.12392,0.8322,0.000577782,0.000577782,0.000577782
35,158.34,0.62832,1.38205,0.92353,0.51,0.7,0.55974,0.46398,0.56136,2.02999,0.83373,0.000544776,0.000544776,0.000544776
36,160.083,0.63552,1.34276,0.9589,0.53146,0.57059,0.55902,0.47369,0.55699,1.99085,0.83064,0.000511769,0.000511769,0.000511769
37,161.859,0.64382,1.52027,0.97406,0.62693,0.56073,0.57505,0.49002,0.50165,1.93623,0.81638,0.000478762,0.000478762,0.000478762
38,163.673,0.63219,1.38801,0.94274,0.64158,0.5444,0.57935,0.49868,0.49684,1.88542,0.81884,0.000445756,0.000445756,0.000445756
39,165.407,0.68298,1.35387,0.99914,0.60066,0.54118,0.56506,0.48792,0.54963,1.98821,0.85836,0.000412749,0.000412749,0.000412749
40,167.106,0.61974,1.41289,0.95598,0.60066,0.54118,0.56506,0.48792,0.54963,1.98821,0.85836,0.000379743,0.000379743,0.000379743
41,168.68,0.5341,1.63313,0.93128,0.62329,0.55737,0.55919,0.48673,0.57604,2.06274,0.88043,0.000346736,0.000346736,0.000346736
